The provided genome contains 5556 ORFs with an average length of 844 nucleotides.

Location  Strand    Length    
707054    -         567       
708756    +         1407      
709757    -         480       
710212    +         327       
710621    -         447       
710640    +         315       
711356    -         531       
711510    +         384       
712026    -         363       
712459    -         765       
713409    +         546       
713946    -         1038      
713980    +         1641      
715834    +         495       
716809    -         318       
717367    -         1296      
718683    -         2199      
719446    +         348       
721477    -         603       
722151    -         2565      
724117    +         402       
724625    +         465       
724828    -         573       
725409    -         2049      
725636    +         306       
726524    +         891       
727480    -         1674      
727689    +         327       
730005    +         4194      
731744    -         579       
732530    -         378       
733058    -         495       
734642    +         1434      
734929    -         495       
736099    +         543       
737428    +         405       
737919    +         465       
738514    +         762       
739423    +         510       
740067    +         1281      
740144    -         384       
741496    -         1482      
743249    +         744       
743442    -         405       
743999    -         339       
744132    +         540       
744689    +         909       
745704    +         618       
746357    +         792       
747144    -         1092      
747902    +         621       
748342    -         999       
748946    +         348       
749400    -         729       
750143    -         2457      
752650    -         567       
753565    +         552       
753606    -         1284      
754201    +         546       
755584    +         405       
756298    -         834       
756329    +         1767      
757425    -         621       
758111    +         717       
759128    +         2802      
759829    -         2268      
761944    +         1218      
762155    -         477       
763436    +         1167      
763540    -         330       
764704    +         768       
765574    -         723       
766406    +         1977      
768400    +         2634      
771877    +         1572      
771906    -         351       
772287    -         534       
773352    -         1281      
773464    +         1140      
775584    +         684       
776271    +         429       
776923    +         1107      
778109    -         339       
778159    +         1296      
779422    -         618       
779489    +         522       
780020    +         792       
782507    +         1044      
783588    +         720       
784303    -         942       
785358    -         381       
785402    +         372       
786055    +         1053      
786582    -         384       
787264    -         753       
788218    -         966       
789252    -         1149      
789508    +         318       
790096    +         633       
790404    -         1047      
791460    -         1059      
791617    +         723       
792737    -         1473      
792954    +         351       
794277    -         789       
795511    +         774       
795874    -         342       
796471    -         420       
796491    +         483       
796976    +         1059      
798034    -         819       
798323    +         417       
799008    +         996       
799134    -         309       
800043    -         1017      
801181    +         1053      
802309    +         1434      
803925    +         2262      
805955    -         408       
806419    -         933       
807854    -         477       
808321    +         534       
808389    -         1401      
809245    +         468       
809766    +         1041      
811157    +         801       
811953    -         312       
812052    +         648       
812986    +         384       
813948    +         2022      
815624    -         474       
816160    -         909       
817397    +         1059      
817690    -         393       
818477    +         513       
818730    -         492       
818992    +         486       
819717    +         453       
820306    +         705       
821215    +         714       
821963    -         702       
822919    -         933       
823529    +         471       
824157    -         762       
824494    +         468       
825052    +         411       
825423    -         1107      
826529    +         333       
826540    -         915       
827666    -         1686      
827725    +         441       
829395    -         996       
830393    -         684       
831294    +         1365      
831314    -         402       
832889    -         483       
833384    +         2259      
834775    -         318       
835670    +         963       
835726    -         555       
836773    +         1086      
837114    -         429       
838589    -         303       
838951    -         714       
839670    -         2061      
841075    +         735       
841748    -         360       
842217    -         405       
842754    +         927       
843676    -         2226      
844412    +         681       
845483    +         327       
846162    -         483       
846613    +         339       
846881    -         660       
847590    +         501       
847679    -         747       
848824    +         486       
848829    -         504       
849631    -         888       
850872    +         516       
851435    -         1584      
853605    +         468       
854222    +         966       
854473    -         375       
855245    -         921       
855408    +         372       
856409    +         1569      
858217    -         1266      
858767    +         321       
859634    -         816       
860595    -         2433      
860605    +         303       
861097    +         390       
861607    +         420       
862666    +         468       
863033    -         927       
864058    +         669       
864801    -         726       
865252    +         432       
865550    -         1236      
866990    +         966       
868008    +         1806      
869297    -         315       
869833    +         1539      
871389    +         921       
872312    +         912       
873401    +         2349      
875757    +         1329      
877131    -         1326      
877259    +         480       
878670    +         384       
879164    +         1116      
880275    -         627       
881128    +         1224      
882397    -         759       
883213    -         597       
884095    +         1233      
885737    -         789       
886552    -         1209      
887523    +         321       
887845    +         537       
888555    -         1488      
891606    +         723       
892503    +         789       
892858    -         363       
893379    +         477       
894131    +         1188      
895332    +         1215      
895922    -         372       
896556    +         954       
897584    +         768       
897963    -         366       
898411    +         489       
898940    +         1128      
899902    -         330       
900265    -         783       
901273    +         411       
901287    -         645       
901955    -         717       
902678    -         732       
903427    -         729       
903503    +         558       
904373    -         516       
905015    +         324       
905370    -         462       
906161    -         1050      
906621    +         324       
907273    -         1203      
908714    -         1002      
909670    +         381       
909752    -         1719      
911603    -         969       
912528    +         327       
912583    -         1653      
913043    +         585       
913685    +         339       
914379    -         900       
915773    -         696       
916895    +         1659      
917628    -         357       
918099    -         348       
918549    -         993       
919657    +         1116      
920874    +         1842      
922132    -         312       
923335    +         321       
923686    +         2277      
923775    -         330       
925125    -         516       
925644    -         315       
927149    -         705       
927895    -         1722      
929617    -         1767      
930630    +         339       
931506    -         966       
931954    +         327       
932770    -         450       
932966    +         546       
933757    +         3879      
935490    -         657       
936814    -         309       
937791    +         615       
938473    +         1287      
939850    +         1293      
940122    -         384       
941220    -         309       
941381    +         2445      
941596    -         384       
942931    -         330       
943836    +         618       
944030    -         870       
944455    +         864       
945352    -         627       
945408    +         333       
946293    +         1149      
947651    +         1431      
949081    -         909       
950090    +         591       
950761    -         768       
951693    -         2283      
952799    +         372       
954030    -         816       
954034    +         408       
955293    -         1761      
956107    +         519       
957184    +         693       
958075    +         1089      
958899    -         360       
959234    +         1284      
959761    -         402       
960662    +         789       
961623    +         684       
961900    -         348       
962417    +         1674      
962452    -         654       
964664    +         2343      
965880    -         369       
967043    +         1749      
968284    -         444       
969328    +         447       
969811    +         1233      
971274    +         747       
971492    -         324       
972174    +         894       
973043    -         780       
973959    +         786       
974701    -         780       
974879    +         1185      
976071    +         678       
976771    -         828       
976877    +         4332      
977629    -         411       
980602    -         525       
981469    +         1848      
982509    -         309       
983497    +         549       
984072    +         648       
984744    +         423       
984940    -         1191      
986315    -         1089      
988006    -         1401      
988115    +         402       
988961    +         354       
989459    +         321       
989575    -         1251      
991044    +         2613      
991376    -         570       
992006    -         819       
993008    -         348       
993698    -         519       
994462    -         792       
995193    +         333       
995264    -         1134      
996406    -         843       
997358    -         576       
998281    +         549       
998912    +         702       
999099    -         312       
999638    +         2601      
1002292   +         1008      
1003311   +         543       
1003861   +         516       
1004774   +         306       
1005190   +         1011      
1006374   +         543       
1006912   -         1068      
1008266   +         2109      
1008739   -         504       
1009318   -         612       
1010386   +         1908      
1012423   +         1254      
1013611   -         366       
1013681   +         1641      
1016373   -         519       
1016960   -         1587      
1018907   +         453       
1019434   -         1041      
1020831   -         510       
1021560   +         630       
1022151   -         2163      
1024323   -         447       
1024800   +         2148      
1025368   -         333       
1026978   -         468       
1027532   -         663       
1028314   +         468       
1028825   -         369       
1029200   -         1191      
1030273   +         492       
1030760   -         387       
1031180   -         660       
1032561   +         1119      
1032659   -         864       
1033766   +         1704      
1035488   +         708       
1036146   -         648       
1036216   +         564       
1036815   +         360       
1037234   +         795       
1038162   +         1545      
1039718   +         1137      
1041009   +         1329      
1042451   -         2181      
1044709   +         369       
1045085   -         1140      
1045131   +         357       
1046270   -         1965      
1047642   +         360       
1048366   -         702       
1048439   +         330       
1049109   -         579       
1049860   -         324       
1049894   +         333       
1050449   +         504       
1052710   -         1074      
1053855   -         2715      
1056683   +         1029      
1057021   -         330       
1057683   -         693       
1058506   +         1173      
1058526   -         501       
1059045   -         723       
1059753   +         2472      
1059770   -         447       
1060436   -         714       
1061222   -         543       
1062329   +         492       
1062944   +         306       
1063276   -         921       
1063595   +         306       
1064458   +         1257      
1066007   +         1242      
1067533   -         597       
1068932   -         1329      
1070281   -         495       
1070367   +         396       
1070769   +         315       
1070786   -         591       
1071386   -         801       
1072194   -         387       
1072207   +         381       
1072592   -         621       
1073284   -         1149      
1074664   +         639       
1075341   -         3963      
1075605   +         480       
1076230   +         393       
1078511   +         384       
1079727   +         1509      
1081439   -         303       
1081876   +         732       
1082665   +         1128      
1083798   +         1272      
1084331   -         453       
1085414   +         1065      
1085599   -         393       
1086527   -         414       
1086942   -         1239      
1088260   -         2019      
1090287   -         2424      
1091078   +         315       
1093298   +         1359      
1094696   -         867       
1095945   +         324       
1096577   +         675       
1097443   +         360       
1098127   +         939       
1099120   +         738       
1099881   +         555       
1100507   +         522       
1101091   -         834       
1101116   +         420       
1101951   -         417       
1102392   -         390       
1102786   -         651       
1104165   +         483       
1104688   +         456       
1105202   +         333       
1105632   -         792       
1106191   +         303       
1106495   -         366       
1106991   +         312       
1107397   +         534       
1108049   +         1305      
1109360   -         1158      
1109956   +         333       
1110894   +         1554      
1112470   +         2514      
1113240   -         450       
1113998   -         306       
1115383   -         375       
1115840   -         1227      
1117238   -         921       
1118384   +         1053      
1118833   -         381       
1119477   -         576       
1120056   -         567       
1121044   -         1119      
1121354   +         399       
1123137   -         1047      
1124289   -         576       
1124983   -         600       
1125694   -         1209      
1126302   +         429       
1127139   +         585       
1127734   +         648       
1128734   +         573       
1128940   -         399       
1129416   +         1536      
1130990   -         417       
1131780   -         660       
1132595   +         417       
1133015   +         405       
1133431   +         696       
1134151   +         1209      
1135379   +         756       
1135918   -         384       
1136306   +         783       
1137132   +         708       
1137194   -         432       
1138043   +         906       
1139074   +         816       
1139112   -         351       
1139955   +         1644      
1141610   +         954       
1142758   -         3186      
1142798   +         1656      
1146517   +         960       
1147587   -         624       
1148371   +         522       
1148621   -         366       
1149228   +         1041      
1150336   +         954       
1150938   -         882       
1151305   +         930       
1152247   +         735       
1153137   -         354       
1153552   +         1206      
1154877   +         810       
1155689   +         1023      
1155715   -         378       
1156393   -         501       
1156803   +         540       
1157441   +         903       
1158354   +         798       
1159439   -         312       
1159446   +         1434      
1160161   -         318       
1160938   -         2190      
1163623   -         312       
1163824   +         378       
1164215   +         642       
1164948   -         384       
1165095   +         567       
1165684   +         1014      
1166720   +         543       
1166905   -         321       
1167719   +         1248      
1168260   -         330       
1169188   +         528       
1169776   -         711       
1170988   -         960       
1171172   +         342       
1172094   -         3495      
1172492   +         327       
1172965   +         411       
1173547   +         345       
1174087   +         399       
1174813   +         309       
1175668   -         1074      
1175891   +         354       
1177004   +         1200      
1177038   -         399       
1177710   -         390       
1178304   +         594       
1178903   +         1239      
1180170   +         912       
1181097   +         840       
1182055   -         711       
1182840   -         471       
1183359   -         996       
1184402   -         765       
1185193   -         774       
1185960   +         318       
1186034   -         1137      
1186734   +         396       
1187421   +         1227      
1187828   -         378       
1188695   -         1131      
1189892   -         1362      
1191352   -         672       
1192192   -         1371      
1192445   +         588       
1193566   -         507       
1194243   -         1107      
1194520   +         477       
1195403   -         462       
1195874   -         654       
1196615   -         663       
1196700   +         1251      
1198443   -         666       
1199109   -         696       
1200272   +         894       
1201255   -         1128      
1203074   +         342       
1203352   -         309       
1203835   -         675       
1204496   +         306       
1204833   +         570       
1205747   +         1368      
1207434   +         348       
1208104   +         396       
1208628   +         447       
1209078   +         630       
1209709   +         414       
1209813   -         312       
1210695   -         540       
1211226   +         591       
1211923   +         834       
1213256   -         324       
1214279   -         405       
1214904   -         471       
1215840   -         1212      
1218863   +         1566      
1221178   +         1521      
1222906   +         894       
1223881   -         336       
1226125   -         813       
1226961   -         696       
1228177   +         369       
1228647   -         402       
1229258   +         327       
1229656   +         660       
1229850   -         441       
1230392   +         462       
1231059   -         918       
1232344   +         420       
1232913   +         1119      
1233284   -         324       
1234076   -         537       
1234735   +         363       
1234752   -         1542      
1236515   +         720       
1236751   -         414       
1237285   -         1533      
1237700   +         354       
1239148   +         1299      
1239750   -         429       
1240456   +         1071      
1241911   -         1611      
1243742   -         915       
1244865   +         504       
1247255   -         1698      
1249272   -         1419      
1250207   +         420       
1250701   -         633       
1251344   -         1101      
1252634   +         1929      
1254661   -         2868      
1256255   +         321       
1256615   +         366       
1258297   -         1092      
1258463   +         381       
1258955   +         723       
1259505   -         384       
1260700   -         1653      
1260765   +         414       
1261212   +         435       
1262504   -         1014      
1263602   -         630       
1263610   +         489       
1264453   -         624       
1265291   +         1257      
1266589   +         1083      
1268094   +         411       
1268897   +         810       
1269702   -         948       
1269742   +         855       
1272325   -         1188      
1274063   +         717       
1274822   -         354       
1275502   +         1254      
1276755   -         603       
1277398   -         1797      
1279534   +         1392      
1279919   -         345       
1280396   -         366       
1281362   -         465       
1281441   +         3744      
1283423   -         972       
1285089   -         339       
1285205   +         1515      
1285957   -         609       
1286638   -         501       
1286788   +         639       
1287422   -         453       
1287441   +         663       
1288464   +         351       
1289358   -         843       
1290250   -         360       
1290822   +         906       
1291819   +         1014      
1293034   +         909       
1294085   -         414       
1295104   +         618       
1296002   -         591       
1297022   -         2676      
1298016   +         1332      
1300274   +         549       
1300284   -         303       
1301130   +         366       
1301497   -         303       
1301567   +         792       
1302282   -         330       
1302851   +         1677      
1304613   +         921       
1305548   +         909       
1306468   +         1014      
1307748   +         735       
1308534   -         330       
1308898   -         1461      
1310729   -         1134      
1312282   -         393       
1312788   +         735       
1313561   -         399       
1314064   -         540       
1314633   -         744       
1314671   +         378       
1315734   +         639       
1316431   -         507       
1316983   -         501       
1318129   -         558       
1318935   -         1194      
1319785   +         336       
1320140   -         1362      
1321502   -         1458      
1323097   -         1563      
1324230   +         357       
1325036   +         780       
1325959   +         474       
1326460   +         1896      
1328566   +         876       
1329480   -         333       
1329739   +         420       
1330067   -         759       
1331205   +         891       
1332762   +         2598      
1334483   -         321       
1335569   +         975       
1337545   +         2676      
1340283   -         591       
1341044   +         765       
1342272   +         1170      
1342877   -         351       
1343575   +         798       
1345310   -         750       
1345330   +         315       
1346470   -         1986      
1348691   -         1935      
1350693   -         1128      
1351964   -         789       
1352127   +         576       
1353541   -         807       
1354349   -         912       
1354996   +         366       
1355341   -         804       
1355926   +         420       
1356218   -         735       
1357180   -         1644      
1357294   +         465       
1358267   +         393       
1359515   -         1386      
1361203   -         1419      
