The provided genome contains 12300 ORFs with an average length of 360 nucleotides.

Location  Strand    Length    
103779    -         309       
103803    +         333       
104153    -         315       
104467    +         333       
104750    -         441       
105262    +         396       
105265    -         507       
105788    -         369       
106334    +         399       
107025    -         303       
107407    +         336       
107648    -         408       
107993    +         309       
108364    +         372       
108638    -         591       
109429    +         351       
109484    -         459       
110968    +         366       
111098    -         360       
111482    +         378       
111525    -         321       
112195    -         354       
113064    -         306       
113383    +         342       
113565    -         339       
113953    -         591       
114123    +         303       
114678    +         303       
114997    -         312       
116082    +         330       
116242    -         339       
116768    +         345       
117156    +         342       
117594    -         384       
117727    +         351       
118315    +         336       
118785    -         399       
119112    +         426       
119790    +         375       
120287    -         309       
120409    +         309       
121235    -         405       
121657    -         321       
122325    +         366       
122335    -         417       
122965    +         408       
123019    -         318       
123534    +         354       
123821    -         315       
124308    +         489       
125087    -         330       
125417    -         306       
125649    +         372       
126402    -         567       
127055    +         336       
127635    +         357       
127992    -         390       
128623    -         363       
128657    +         342       
129406    -         315       
129488    +         591       
129842    -         342       
130183    +         378       
130424    -         372       
130617    +         324       
131044    +         303       
131533    -         381       
132000    -         456       
132076    +         318       
132882    +         303       
133396    -         399       
133564    +         327       
133931    +         327       
133979    -         471       
134469    -         333       
134655    +         357       
135143    -         309       
135410    +         306       
135578    -         363       
135945    +         339       
136441    +         330       
136592    -         387       
137181    -         324       
137210    +         357       
137650    -         432       
137846    +         321       
138379    -         366       
138682    +         573       
138844    -         378       
139500    +         381       
140161    -         324       
140354    +         342       
140912    -         336       
141297    -         354       
141331    +         315       
141650    +         318       
141857    -         324       
142227    -         321       
142274    +         375       
142733    -         504       
143156    +         405       
143624    -         321       
143680    +         528       
144268    -         540       
144537    +         333       
144850    -         426       
145172    +         327       
145418    -         309       
146479    -         315       
146612    +         303       
147455    +         306       
147574    -         387       
147890    +         351       
148320    -         330       
148700    -         405       
148707    +         324       
149100    +         324       
149350    -         303       
149805    +         351       
149871    -         324       
150256    -         363       
150609    +         315       
150648    -         390       
151297    -         384       
151548    +         390       
151953    -         354       
152059    +         336       
152943    -         318       
153050    +         312       
153378    +         363       
153940    +         303       
154397    +         339       
154470    -         327       
155256    -         306       
155515    +         381       
155857    -         312       
156122    +         375       
156517    +         333       
157002    -         312       
157276    +         354       
157499    -         303       
158022    +         354       
158411    -         387       
158696    +         483       
158833    -         318       
159206    +         324       
159927    -         540       
160198    +         339       
160787    +         336       
161229    -         363       
161258    +         393       
161909    -         327       
162068    +         369       
162399    -         348       
162758    -         348       
162841    +         348       
163208    +         303       
163574    -         357       
164018    +         420       
164260    -         471       
164927    +         330       
164936    -         330       
165451    +         306       
165901    +         384       
166306    -         306       
166742    +         414       
166971    -         375       
167459    -         306       
167645    +         303       
168430    -         312       
168926    -         693       
169593    +         303       
169953    -         303       
170399    -         336       
170522    +         330       
170765    -         303       
171238    -         369       
171398    +         318       
171625    -         360       
172043    +         408       
172094    -         405       
172929    -         435       
173023    +         405       
173502    +         306       
174312    +         468       
174652    -         309       
175066    +         432       
175843    +         483       
175968    -         327       
176591    +         357       
176664    -         327       
177037    -         327       
177043    +         330       
177578    +         531       
177661    -         489       
178178    -         315       
178614    +         576       
178830    -         357       
179201    -         324       
179776    +         327       
180114    -         342       
180548    -         351       
180649    +         318       
182063    -         387       
182435    +         318       
182705    -         438       
182773    +         309       
183222    -         432       
183624    +         330       
183708    -         387       
184200    -         357       
184503    +         318       
184843    +         309       
185023    -         315       
185551    +         321       
185977    -         429       
186102    +         345       
186551    -         327       
187445    +         345       
187556    -         303       
188054    -         372       
188205    +         393       
188973    +         525       
189216    -         303       
189566    -         309       
189825    +         357       
190324    -         351       
190333    +         399       
190786    +         405       
191523    -         333       
191858    -         324       
192330    +         306       
192916    +         315       
193115    -         474       
193514    +         360       
193713    -         390       
194047    +         345       
194577    -         396       
194665    +         369       
195105    +         315       
195651    +         405       
195722    -         309       
196296    +         318       
196753    -         345       
197138    -         333       
197617    -         303       
197879    +         354       
198705    -         348       
199052    +         351       
199219    -         324       
199704    -         543       
200460    +         327       
200514    -         606       
201029    +         312       
201120    -         336       
201941    +         303       
202114    -         324       
202914    -         372       
203067    +         303       
204432    -         315       
204456    +         360       
205166    -         306       
205655    +         330       
206043    -         435       
207221    -         450       
207441    +         351       
208378    -         423       
208800    +         357       
209098    -         375       
209811    -         339       
209876    +         309       
210566    +         342       
211067    +         396       
211152    -         354       
211560    -         573       
211877    +         390       
212328    -         303       
212690    +         315       
213020    -         411       
213135    +         495       
213497    -         363       
213969    +         333       
214459    -         375       
214784    +         336       
214857    -         315       
215207    -         516       
215538    +         303       
215856    -         387       
216130    +         318       
216501    -         396       
216528    +         333       
216913    +         855       
217063    -         315       
217751    -         339       
218624    -         330       
218774    +         369       
219278    -         423       
219479    +         312       
220051    +         531       
220112    -         816       
220703    +         330       
221179    -         327       
222089    +         459       
222370    -         312       
222808    +         321       
223113    -         327       
223469    -         321       
223475    +         303       
224167    +         357       
224362    -         405       
224852    +         357       
225213    -         363       
225603    -         321       
225728    +         309       
226451    +         309       
226839    -         513       
227012    +         327       
227471    +         318       
227621    -         471       
227866    +         423       
228512    -         363       
228794    +         324       
228946    -         402       
229696    -         390       
230154    +         375       
230615    -         315       
231295    +         330       
231724    -         417       
232393    +         333       
232697    -         327       
232757    +         462       
233247    +         366       
233473    -         348       
233951    -         318       
234229    +         384       
234886    -         303       
235275    -         327       
235672    +         309       
235895    -         318       
236329    -         351       
236510    +         309       
236814    -         333       
236861    +         303       
237388    +         315       
237487    -         309       
237859    -         357       
238088    +         306       
238781    +         306       
239058    -         432       
239507    +         327       
239943    +         321       
240112    -         369       
240797    +         375       
240858    -         480       
241258    +         363       
241753    +         408       
242077    -         441       
242685    +         435       
243065    -         309       
243383    +         375       
243386    -         324       
243831    -         333       
244242    +         330       
244620    +         369       
244893    -         366       
245094    +         375       
245728    -         324       
246972    +         540       
247063    -         423       
247675    +         303       
248276    +         426       
248714    +         354       
249627    -         546       
249630    +         369       
250495    -         351       
251092    +         411       
251102    -         309       
251781    -         378       
251901    +         324       
252282    +         303       
252287    -         315       
252759    +         309       
252916    -         324       
253565    -         306       
253776    +         330       
254033    -         348       
254531    +         441       
255097    -         318       
255630    -         348       
256060    +         324       
256232    -         345       
256397    +         315       
256592    -         315       
257067    -         309       
257240    +         435       
257882    -         387       
258245    +         450       
258332    -         303       
258714    +         393       
259247    -         336       
259287    +         306       
259599    +         333       
260305    -         309       
260696    +         348       
261066    -         375       
261482    +         315       
261693    -         333       
262067    -         369       
262435    +         387       
262651    -         366       
263078    +         384       
263470    +         372       
263479    -         327       
264202    +         315       
264254    -         372       
264553    +         564       
264639    -         405       
265117    +         339       
265307    -         306       
265717    +         420       
265964    -         324       
266498    +         378       
267037    +         345       
267161    -         396       
267424    +         351       
267783    +         309       
267816    -         312       
268236    -         345       
268616    +         330       
269636    -         330       
270134    -         327       
270276    +         336       
270849    +         318       
270866    -         312       
271339    -         318       
271914    -         303       
272436    +         336       
272758    -         402       
273471    +         399       
273862    -         345       
274700    -         342       
274929    +         306       
275419    -         321       
275578    +         375       
275906    -         468       
276005    +         867       
276521    -         369       
276982    +         306       
277941    +         309       
278092    -         519       
278930    +         399       
279247    -         339       
279613    +         330       
279750    -         309       
279996    +         309       
280062    -         360       
281264    -         450       
281267    +         312       
281713    +         327       
282256    -         435       
282741    +         588       
283609    +         507       
284168    -         435       
285609    -         384       
285882    +         321       
285997    -         780       
286416    +         537       
287201    +         423       
287531    -         330       
287956    -         441       
288449    +         399       
288721    -         318       
289224    -         318       
289272    +         315       
289776    -         306       
289794    +         327       
290456    +         345       
290645    -         354       
291142    -         396       
291213    +         303       
291705    +         372       
291766    -         384       
292344    +         384       
292615    -         321       
293481    -         306       
293882    +         324       
294612    +         303       
294622    -         306       
294945    +         354       
294963    -         315       
295805    -         333       
296384    +         312       
296993    -         417       
297422    +         471       
297944    +         324       
298485    +         387       
298585    -         426       
299113    +         417       
299667    -         372       
300154    -         453       
300157    +         321       
300797    -         336       
301293    +         345       
301866    -         327       
301965    +         357       
302662    -         315       
302665    +         357       
303658    -         342       
304118    +         333       
304187    -         318       
304492    +         318       
304785    -         345       
304891    +         363       
305406    +         309       
305781    -         426       
306075    +         315       
306859    -         369       
307018    +         345       
307939    +         363       
308266    -         303       
308374    +         528       
308922    +         390       
308957    -         342       
309613    +         303       
309641    -         303       
310015    -         306       
310024    +         327       
310513    +         378       
311164    +         324       
311317    -         342       
311697    +         333       
311756    -         366       
312207    +         312       
312583    -         318       
312615    +         318       
313099    +         312       
313435    -         315       
313834    -         336       
314349    +         321       
314479    -         312       
314756    +         483       
314908    -         309       
315424    -         318       
315538    +         309       
316099    +         414       
316136    -         390       
316715    -         309       
317029    +         312       
317652    +         312       
318148    +         315       
318669    +         309       
318914    -         345       
319058    +         318       
319437    -         522       
320159    +         312       
320221    -         366       
321119    +         321       
321185    -         339       
321540    +         360       
321625    -         387       
322168    -         366       
322209    +         411       
322653    +         303       
323229    -         342       
323299    +         312       
323773    +         321       
323875    -         330       
324184    +         363       
324446    -         348       
324697    +         333       
325228    +         303       
325362    -         342       
325611    +         699       
326154    -         357       
326555    -         321       
326959    +         324       
327293    +         321       
327398    -         312       
327666    +         309       
327874    -         324       
328328    +         363       
328856    -         306       
329463    -         396       
329778    +         315       
330313    -         432       
330855    -         327       
331290    +         309       
331603    +         324       
331691    -         399       
332102    -         354       
332397    +         399       
332490    -         354       
332897    -         345       
333037    +         441       
333683    +         465       
333821    -         336       
334504    +         606       
334709    -         783       
335498    -         309       
335959    +         387       
336263    -         330       
336971    -         465       
337467    +         333       
338447    +         399       
338671    -         303       
338979    +         414       
339431    -         360       
339855    +         318       
339923    -         318       
340285    +         384       
341474    +         363       
341505    -         558       
342038    +         351       
342195    -         522       
342867    -         321       
343098    +         306       
343282    -         324       
343799    -         309       
344075    +         330       
344605    +         321       
344710    -         375       
345366    +         321       
345852    +         306       
345882    -         363       
346280    -         309       
346398    +         363       
347071    +         318       
347407    -         339       
347899    +         324       
348563    -         429       
349106    +         306       
349275    -         507       
350334    -         372       
350356    +         369       
351179    -         543       
351927    -         309       
352440    -         330       
352699    +         354       
352922    -         516       
353613    -         336       
353892    +         324       
354294    +         303       
354773    -         315       
355090    +         303       
355326    -         384       
355724    +         321       
356450    -         378       
357200    +         357       
357762    -         306       
357953    +         345       
358197    -         318       
358721    -         330       
359010    +         303       
359147    -         306       
359397    +         441       
359552    -         378       
359972    -         309       
360370    +         381       
360987    -         303       
361077    +         318       
361316    -         378       
361789    +         306       
362047    -         390       
362753    +         330       
363194    -         321       
363405    +         396       
363586    -         375       
364420    -         327       
364427    +         345       
365017    -         339       
365148    +         309       
365695    -         339       
366206    +         543       
366411    -         363       
366910    +         348       
366985    -         345       
367390    -         312       
367424    +         327       
368327    -         465       
368791    +         351       
368941    -         333       
369301    -         495       
369449    +         441       
370221    -         318       
370309    +         405       
370737    +         306       
371699    -         336       
372057    +         315       
372733    -         360       
373264    -         348       
373295    +         333       
373806    -         429       
374493    +         336       
374848    -         333       
374912    +         309       
375853    +         363       
376037    -         603       
376557    +         312       
377070    +         303       
377119    -         399       
377895    +         357       
378389    +         432       
378701    -         303       
379149    -         351       
379160    +         450       
379956    +         303       
380067    -         624       
380334    +         321       
380916    -         315       
381510    -         360       
381639    +         306       
381981    -         468       
382374    +         318       
382855    -         405       
383363    +         321       
383796    -         303       
384215    +         381       
384752    -         354       
385488    -         552       
385687    +         312       
386211    +         339       
386519    -         519       
387006    +         330       
387703    -         417       
387791    +         465       
388318    +         552       
388886    -         312       
389030    +         363       
389468    +         312       
389798    -         378       
390327    -         303       
390588    +         348       
390723    -         321       
391194    +         459       
391401    -         483       
391849    +         312       
391997    -         315       
392429    -         327       
392865    +         315       
393352    +         330       
393672    -         345       
393777    +         324       
394303    +         402       
394869    +         381       
395170    -         354       
395762    +         306       
396209    +         303       
396670    -         309       
396978    +         312       
397146    -         312       
397823    +         309       
398067    -         336       
398179    +         348       
398663    +         306       
398988    -         369       
399070    +         333       
399638    -         366       
399676    +         321       
400312    +         318       
400637    -         321       
400727    +         393       
401108    -         414       
401539    -         417       
401693    +         309       
402132    -         345       
402523    -         558       
402779    +         435       
403229    -         303       
403240    +         315       
403548    -         333       
403864    +         315       
404111    -         321       
404819    +         345       
405117    -         354       
405536    -         306       
405562    +         327       
405869    -         312       
405899    +         333       
406353    +         303       
406514    -         318       
407373    +         375       
407405    -         387       
407816    -         396       
408185    +         579       
408389    -         321       
408776    -         366       
409221    -         408       
409766    +         408       
410258    -         324       
410682    +         306       
411038    -         354       
411384    +         312       
411610    -         363       
411946    +         420       
412455    -         348       
412863    -         375       
413030    +         333       
413394    -         432       
413530    +         372       
414054    +         399       
414438    -         306       
415112    -         321       
415399    +         309       
415922    -         309       
416317    +         336       
416363    -         429       
416861    -         330       
417087    +         315       
417401    -         366       
417948    +         333       
418166    -         363       
418528    +         303       
418985    -         633       
419617    +         309       
419752    -         333       
420526    +         309       
421111    +         306       
421452    -         354       
421905    -         306       
422095    +         324       
422588    -         345       
422881    +         309       
423152    -         438       
423548    +         360       
424018    +         360       
424195    -         321       
425002    -         567       
425255    +         414       
425738    -         312       
426053    +         309       
426384    +         306       
426938    +         336       
426974    -         384       
427417    -         336       
428012    +         309       
428101    -         417       
428638    +         309       
428698    -         306       
429008    -         324       
429102    +         351       
429597    +         354       
429678    -         303       
430159    +         312       
430352    -         399       
430518    +         708       
431294    -         330       
431500    +         330       
432098    -         600       
432772    -         372       
433189    -         411       
433313    +         306       
434309    +         333       
434330    -         390       
434863    +         321       
435124    -         303       
435648    -         723       
435743    +         396       
436342    +         342       
436384    -         387       
436784    -         480       
436888    +         342       
437541    +         336       
437668    -         366       
439032    +         384       
439425    -         441       
439682    +         399       
439894    -         438       
440219    +         351       
440601    -         396       
440697    +         429       
441419    +         303       
441434    -         309       
442015    -         315       
442319    +         321       
442587    -         303       
443188    -         333       
443441    +         351       
443812    +         306       
444078    -         345       
444528    +         384       
444743    -         426       
445216    +         348       
445615    -         465       
445948    +         345       
446555    -         498       
446889    +         306       
447215    +         336       
447702    -         303       
448176    +         309       
448600    -         315       
448942    -         351       
449080    +         357       
449498    -         330       
450094    -         330       
450144    +         312       
450536    +         303       
450653    -         303       
450914    +         366       
451240    -         498       
451303    +         312       
451825    +         411       
451861    -         402       
452263    -         600       
452768    +         600       
452936    -         405       
454061    -         366       
454199    +         312       
454631    +         309       
455135    +         303       
455416    -         321       
455725    +         312       
456008    -         348       
456391    +         330       
456415    -         303       
456778    +         339       
457153    +         369       
457559    -         354       
457946    -         303       
458039    +         327       
458285    -         342       
458479    +         324       
458821    -         396       
459498    -         306       
459959    +         348       
460551    +         324       
460828    -         312       
461727    -         303       
462162    -         366       
462886    -         303       
463034    +         321       
463638    -         336       
463927    +         324       
464536    +         441       
464595    -         378       
465378    +         339       
465871    -         321       
466920    +         351       
467317    -         585       
467327    +         303       
468100    -         306       
468136    +         303       
468650    -         330       
468979    +         306       
468986    -         366       
469793    +         336       
470104    -         387       
470636    -         348       
471080    -         330       
471478    +         309       
471822    +         339       
472222    -         468       
472284    +         315       
472657    +         345       
472909    -         396       
473002    +         468       
473928    +         336       
474489    -         408       
474599    +         321       
474911    -         348       
474976    +         315       
475434    -         390       
475983    -         393       
476335    +         327       
476706    +         321       
476846    -         312       
477837    -         333       
478010    +         351       
478371    +         342       
478515    -         327       
478909    -         303       
479010    +         315       
479715    +         312       
479750    -         309       
480222    +         309       
480252    -         345       
481054    -         315       
481368    +         321       
481840    +         363       
482033    -         375       
482528    -         333       
482649    +         360       
483231    +         315       
483626    +         393       
483649    -         324       
484470    -         432       
484948    +         330       
485332    +         432       
485455    -         303       
485837    +         387       
486217    -         489       
487097    -         585       
487213    +         510       
487729    +         330       
488208    -         306       
488407    +         327       
488579    -         336       
488868    +         450       
489349    -         315       
489754    +         336       
489869    -         399       
490461    +         324       
490921    -         351       
491342    +         303       
492024    -         366       
492337    +         306       
492497    -         327       
492971    +         309       
493058    -         378       
493618    +         336       
493815    -         486       
494175    +         327       
495290    -         321       
495874    -         378       
496230    +         309       
496840    -         312       
496871    +         327       
497355    -         360       
497695    +         441       
497976    -         321       
498212    +         396       
498466    -         387       
498925    +         321       
499927    -         339       
500835    +         357       
501206    +         306       
501722    -         375       
501868    +         402       
502173    -         321       
502734    -         306       
502924    +         312       
503294    -         357       
503805    +         312       
504079    -         312       
504636    -         324       
504959    +         306       
505138    -         312       
505513    -         348       
505614    +         585       
505995    -         351       
506401    +         567       
506754    -         345       
507195    -         351       
507378    +         312       
507960    +         351       
507986    -         333       
508439    +         354       
508918    +         378       
509104    -         402       
509357    +         393       
509798    -         309       
509880    +         345       
510414    +         330       
510526    -         315       
510882    -         303       
511333    -         423       
511841    -         324       
511844    +         324       
512232    -         330       
513027    -         318       
513069    +         324       
513388    -         336       
513723    +         321       
514060    +         360       
514243    -         324       
514903    -         405       
515361    -         303       
515791    +         366       
516238    -         375       
516629    +         330       
516648    -         483       
516983    +         438       
517379    -         303       
517681    +         306       
517960    -         348       
518605    +         375       
518885    -         360       
519263    -         378       
519560    +         309       
520265    +         303       
520288    -         417       
520827    -         348       
520919    +         303       
521195    -         384       
521567    +         501       
521701    -         423       
522130    +         318       
522427    -         516       
522457    +         330       
522807    +         339       
523309    -         387       
523896    -         306       
524462    -         357       
524755    +         324       
525043    -         423       
526212    -         537       
526412    +         354       
527997    -         306       
528034    +         321       
528642    +         339       
528950    -         330       
529232    +         354       
529461    -         306       
529789    -         327       
530247    +         444       
530915    +         339       
530987    -         381       
531401    -         360       
531656    +         309       
531840    -         357       
532117    +         378       
532206    -         306       
532649    -         303       
532799    +         324       
533227    -         351       
533288    +         444       
533990    -         327       
534180    +         303       
534759    -         315       
535535    -         303       
535731    +         306       
535926    -         534       
536633    -         441       
536993    +         321       
537205    -         393       
537696    +         372       
537844    -         372       
538073    +         309       
538808    +         312       
539022    -         303       
539363    +         315       
539715    -         318       
539746    +         309       
540347    -         336       
540753    +         357       
541165    +         318       
541346    -         339       
541684    +         336       
541976    -         348       
542409    +         369       
543070    +         309       
543270    -         315       
543783    +         642       
544100    -         312       
544567    +         441       
544736    -         309       
545044    +         537       
545495    -         318       
545753    +         312       
546354    -         321       
546367    +         345       
546680    -         309       
547074    +         498       
547119    -         303       
547801    +         333       
548304    +         390       
548856    -         327       
549182    +         396       
549300    -         363       
550028    -         381       
550842    +         339       
551038    -         333       
551351    +         345       
551681    -         315       
551816    +         312       
552204    -         393       
552663    -         366       
552937    +         318       
553349    -         360       
553782    +         354       
554457    +         360       
554656    -         321       
555087    -         450       
555235    +         375       
555806    -         363       
556363    -         324       
556620    +         510       
556788    -         339       
557557    -         333       
558331    +         354       
558696    -         303       
559306    +         312       
559532    -         366       
559900    -         312       
560268    -         330       
560601    -         396       
561085    -         426       
561570    +         303       
561641    -         369       
562521    -         369       
562789    +         330       
562992    -         357       
563451    +         318       
